Academic Year,TAP Sector Group,Scholarship Name,Scholarship Headcount,Scholarship FTE,Scholarship Dollars
2015,6-BUS. DEGREE,NYS World Trade Center Memorial Scholarship,17,14.83,243570.19
2015,5-INDEPENDENT,NYS World Trade Center Memorial Scholarship,377,358.25,6611006.58
2015,4-SUNY CC,NYS World Trade Center Memorial Scholarship,90,69.00,783037.06
2015,1-CUNY SR,NYS World Trade Center Memorial Scholarship,63,50.92,839059.51
2015,2-CUNY CC,NYS World Trade Center Memorial Scholarship,11,9.00,122545.10
2015,3-SUNY SO,Senator Patricia K. McGee Nursing Faculty Scholarship,23,12.00,333681.49
2015,5-INDEPENDENT,Senator Patricia K. McGee Nursing Faculty Scholarship,88,47.13,1276097.91
2015,1-CUNY SR,Senator Patricia K. McGee Nursing Faculty Scholarship,16,8.50,259557.88
2015,3-SUNY SO,Veterans Tuition Awards,336,241.04,1212077.66
2015,VOCATIONAL - VET SCHOOLS ONLY,Veterans Tuition Awards,69,37.25,212306.70
2015,6-BUS. DEGREE,Veterans Tuition Awards,85,69.75,376869.60
2015,5-INDEPENDENT,Veterans Tuition Awards,264,195.92,1203351.72
2015,1-CUNY SR,Veterans Tuition Awards,129,76.92,357262.68
2015,4-SUNY CC,Veterans Tuition Awards,312,210.29,705286.68
2015,2-CUNY CC,Veterans Tuition Awards,43,24.58,83840.14
2014,5-INDEPENDENT,Flight 3407 Memorial Scholarship,3,2.50,38965.00
2014,3-SUNY SO,Flight 3407 Memorial Scholarship,3,2.50,42954.00
2014,4-SUNY CC,Flight 587 Memorial Scholarship,1,1.00,5825.00
2014,6-BUS. DEGREE,Flight 587 Memorial Scholarship,2,1.83,37456.66
2014,2-CUNY CC,Flight 587 Memorial Scholarship,1,0.50,3149.45
2014,3-SUNY SO,Flight 587 Memorial Scholarship,2,1.50,28041.50
2014,5-INDEPENDENT,Flight 587 Memorial Scholarship,9,8.50,162459.50
2014,1-CUNY SR,Flight 587 Memorial Scholarship,8,7.00,70856.25
2014,4-SUNY CC,Military Service Recognition Scholarship,21,17.75,187941.42
2014,2-CUNY CC,Military Service Recognition Scholarship,2,1.00,11153.95
2014,6-BUS. DEGREE,Military Service Recognition Scholarship,3,3.50,42080.50
2014,3-SUNY SO,Military Service Recognition Scholarship,31,25.50,442094.08
2014,5-INDEPENDENT,Military Service Recognition Scholarship,20,19.25,336099.80
2014,1-CUNY SR,Military Service Recognition Scholarship,8,6.00,103267.65
2014,1-CUNY SR,NYS Math and Science Teacher Incentive Scholarship,6,6.00,34355.00
2014,2-CUNY CC,NYS Math and Science Teacher Incentive Scholarship,1,1.00,4818.90
2014,3-SUNY SO,NYS Math and Science Teacher Incentive Scholarship,32,30.50,188947.50
2014,5-INDEPENDENT,NYS Math and Science Teacher Incentive Scholarship,36,33.50,202222.50
2014,4-SUNY CC,"NYS Memorial Scholarships for Families of Deceased Firefighters, Volunteer Firefighters, Police Officers, Peace Officers and Emergency Medical Service Workers",8,5.00,53588.50
2014,6-BUS. DEGREE,"NYS Memorial Scholarships for Families of Deceased Firefighters, Volunteer Firefighters, Police Officers, Peace Officers and Emergency Medical Service Workers",1,1.00,21892.00
2014,3-SUNY SO,"NYS Memorial Scholarships for Families of Deceased Firefighters, Volunteer Firefighters, Police Officers, Peace Officers and Emergency Medical Service Workers",18,15.75,300712.75
2014,5-INDEPENDENT,"NYS Memorial Scholarships for Families of Deceased Firefighters, Volunteer Firefighters, Police Officers, Peace Officers and Emergency Medical Service Workers",25,23.67,448540.49
2014,1-CUNY SR,"NYS Memorial Scholarships for Families of Deceased Firefighters, Volunteer Firefighters, Police Officers, Peace Officers and Emergency Medical Service Workers",1,1.00,10777.70
2014,2-CUNY CC,NYS Regents Awards for Children of Deceased and Disabled Veterans,5,4.00,1800.00
2014,8-OTHER,NYS Regents Awards for Children of Deceased and Disabled Veterans,1,0.50,225.00
2014,6-BUS. DEGREE,NYS Regents Awards for Children of Deceased and Disabled Veterans,9,8.00,3600.00
2014,3-SUNY SO,NYS Regents Awards for Children of Deceased and Disabled Veterans,178,148.00,67275.00
2014,1-CUNY SR,NYS Regents Awards for Children of Deceased and Disabled Veterans,18,15.00,6750.00
2014,5-INDEPENDENT,NYS Regents Awards for Children of Deceased and Disabled Veterans,125,110.50,50625.00
2014,4-SUNY CC,NYS Regents Awards for Children of Deceased and Disabled Veterans,117,89.75,41400.00
2014,2-CUNY CC,NYS Scholarships for Academic Excellence,223,169.50,129250.00
